,description,reaction,T,I,pH,pMg,standard_dg_prime,nontrans_standard_dg_prime,nontrans_stderr,stderr,n,SEM,ddG
0,H2O,[H]O[H],298.15,0.25,7.0,14.0,-155.7,,,,,,-81.4886246207269
1,ATP,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-2293.7,,,,,,-570.898404840607
2,Oxygen,O=O,298.15,0.25,7.0,14.0,16.4,,,,,,0.0
3,ADP,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-1423.9,,,,,,-558.4508076402218
4,Orthophosphate,[H]OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-1059.1,,,,,,-90.70311355655424
5,CO2,O=C=O,298.15,0.25,7.0,14.0,-386.0,,,,,,0.0
6,Diphosphate,[H]OP(=O)(O[H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-1942.8,,,,,,-108.32609817003909
7,NH3,[H]N([H])[H],298.15,0.25,7.0,14.0,82.8,,,,,,-111.58777080749545
8,AMP,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-554.9,,,,,,-532.6473603188014
9,Pyruvate,[H]OC(=O)C(=O)C([H])([H])[H],298.15,0.25,7.0,14.0,-350.8,,,,,,-139.75790879918085
10,Iron,[Fe],298.15,0.25,7.0,14.0,0.0,,,,,,0.0
11,L-Glutamate,[H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],298.15,0.25,7.0,14.0,-372.4,,,,,,-315.3811028975054
12,2-Oxoglutarate,[H]OC(=O)C(=O)C([H])([H])C([H])([H])C(=O)O[H],298.15,0.25,7.0,14.0,-633.7,,,,,,-205.8348852452297
13,Hydrogen peroxide,[H]OO[H],298.15,0.25,7.0,14.0,-52.5,,,,,,-81.48854970893478
14,D-Glucose,[H]OC1([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,-427.0,,,,,,-488.9316177991006
15,Acetate,[H]OC(=O)C([H])([H])[H],298.15,0.25,7.0,14.0,-247.9,,,,,,-148.9345064961032
16,Manganese,[Mn],298.15,0.25,7.0,14.0,0.0,,,,,,0.0
17,Oxaloacetate,[H]OC(=O)C(=O)C([H])([H])C(=O)O[H],298.15,0.25,7.0,14.0,-715.0,,,,,,-117.27962756508305
18,Glycine,[H]OC(=O)C([H])([H])N([H])[H],298.15,0.25,7.0,14.0,-176.2,,,,,,-164.17201989455515
19,L-Alanine,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])[H],298.15,0.25,7.0,14.0,-85.8,,,,,,-245.21025207291922
20,Succinate,[H]OC(=O)C([H])([H])C([H])([H])C(=O)O[H],298.15,0.25,7.0,14.0,-530.7,,,,,,-217.1909819339181
21,Glyoxylate,[H]OC(=O)C([H])=O,298.15,0.25,7.0,14.0,-428.7,,,,,,-56.44381143889407
22,L-Aspartate,[H]OC(=O)C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],298.15,0.25,7.0,14.0,-452.3,,,,,,-229.263915937262
23,Formate,[H]OC([H])=O,298.15,0.25,7.0,14.0,-311.1,,,,,,-65.90951320666312
24,Sulfate,[H]OS(=O)(=O)O[H],298.15,0.25,7.0,14.0,-747.8,,,,,,4.827225684485796
25,L-Glutamine,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])C(=O)N([H])[H],298.15,0.25,7.0,14.0,-120.6,,,,,,-366.58357031851705
26,L-Serine,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])O[H],298.15,0.25,7.0,14.0,-225.7,,,,,,-245.81709341146913
27,Formaldehyde,[H]C([H])=O,298.15,0.25,7.0,14.0,-40.0,,,,,,-81.48862462959718
28,Phosphoenolpyruvate,[H]OC(=O)C(OP(=O)(O[H])O[H])=C([H])[H],298.15,0.25,7.0,14.0,-1189.5,,,,,,-151.1764489414299
29,L-Tryptophan,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])c1c([H])n([H])c2c([H])c([H])c([H])c([H])c12,298.15,0.25,7.0,14.0,374.2,,,,,,-449.78588934601197
30,L-Phenylalanine,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],298.15,0.25,7.0,14.0,241.1,,,,,,-408.35806495485565
