description,reaction,T,I,pH,pMg,standard_dg_prime,std,n,SEM,type,nontrans_standard_dg_prime,nontrans_std,all standard_dg_prime,all nontrans_standard_dg_prime
(R)-2-Methylmalate,[H]OC(=O)C([H])([H])[C@@](O[H])(C(=O)O[H])C([H])([H])[H],298.15,0.25,7.0,14.0,-602.7,,1,,formation dg,,,,
(S)-2-Hydroxyglutarate,[H]OC(=O)C([H])([H])C([H])([H])[C@]([H])(O[H])C(=O)O[H],298.15,0.25,7.0,14.0,-599.0,,1,,formation dg,,,,
(S)-Lactate,[H]OC(=O)[C@@]([H])(O[H])C([H])([H])[H],298.15,0.25,7.0,14.0,-313.8,,1,,formation dg,,,,
(S)-Malate,[H]OC(=O)C([H])([H])[C@]([H])(O[H])C(=O)O[H],298.15,0.25,7.0,14.0,-682.9,,1,,formation dg,,,,
"1,1,1,2-Tetrachloroethane",[H]C([H])(Cl)C(Cl)(Cl)Cl,298.15,0.25,7.0,14.0,3.7,,1,,formation dg,,,,
"1,1,1-Trichloroethane",[H]C([H])([H])C(Cl)(Cl)Cl,298.15,0.25,7.0,14.0,53.2,,1,,formation dg,,,,
"1,1,2,2-Tetrachloroethane",[H]C(Cl)(Cl)C([H])(Cl)Cl,298.15,0.25,7.0,14.0,-7.4,,1,,formation dg,,,,
"1,1,2-Trichloroethane",[H]C([H])(Cl)C([H])(Cl)Cl,298.15,0.25,7.0,14.0,44.6,,1,,formation dg,,,,
"1,1-Dichloroethane",[H]C([H])([H])C([H])(Cl)Cl,298.15,0.25,7.0,14.0,94.3,,1,,formation dg,,,,
"1,1-Dichloroethylene",[H]C([H])=C(Cl)Cl,298.15,0.25,7.0,14.0,113.7,,1,,formation dg,,,,
"1,2,3,4-Tetrachlorobenzene",[H]c1c([H])c(Cl)c(Cl)c(Cl)c1Cl,298.15,0.25,7.0,14.0,137.3,,1,,formation dg,,,,
"1,2,3,5-Tetrachlorobenzene",[H]c1c(Cl)c([H])c(Cl)c(Cl)c1Cl,298.15,0.25,7.0,14.0,130.7,,1,,formation dg,,,,
"1,2,3-Trichlorobenzene",[H]c1c([H])c(Cl)c(Cl)c(Cl)c1[H],298.15,0.25,7.0,14.0,193.9,,1,,formation dg,,,,
"1,2,3-Trichloropropane",[H]C([H])(Cl)C([H])(Cl)C([H])([H])Cl,298.15,0.25,7.0,14.0,103.2,,1,,formation dg,,,,
"1,2,4,5-Tetrachlorobenzene",[H]c1c(Cl)c(Cl)c([H])c(Cl)c1Cl,298.15,0.25,7.0,14.0,135.0,,1,,formation dg,,,,
"1,2,4-Trichlorobenzene",[H]c1c([H])c(Cl)c(Cl)c([H])c1Cl,298.15,0.25,7.0,14.0,182.7,,1,,formation dg,,,,
"1,2-Dichlorobenzene",[H]c1c([H])c([H])c(Cl)c(Cl)c1[H],298.15,0.25,7.0,14.0,247.3,,1,,formation dg,,,,
"1,2-Dichloroethane",[H]C([H])(Cl)C([H])([H])Cl,298.15,0.25,7.0,14.0,90.0,,1,,formation dg,,,,
"1,2-Dichloropropane",[H]C([H])([H])C([H])(Cl)C([H])([H])Cl,298.15,0.25,7.0,14.0,164.6,,1,,formation dg,,,,
"1,3,5-Trichlorobenzene",[H]c1c(Cl)c([H])c(Cl)c([H])c1Cl,298.15,0.25,7.0,14.0,179.0,,1,,formation dg,,,,
"1,3-Dichlorobenzene",[H]c1c([H])c(Cl)c([H])c(Cl)c1[H],298.15,0.25,7.0,14.0,244.8,,1,,formation dg,,,,
"1,3-Dichloropropane",[H]C([H])(Cl)C([H])([H])C([H])([H])Cl,298.15,0.25,7.0,14.0,164.1,,1,,formation dg,,,,
"1,4-Dichlorobenzene",[H]c1c([H])c(Cl)c([H])c([H])c1Cl,298.15,0.25,7.0,14.0,241.3,,1,,formation dg,,,,
1-Butanol,[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],298.15,0.25,7.0,14.0,235.6,,1,,formation dg,,,,
1-Chlorobutane,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])Cl,298.15,0.25,7.0,14.0,334.9,,1,,formation dg,,,,
1-Chloropentane,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])Cl,298.15,0.25,7.0,14.0,418.6,,1,,formation dg,,,,
1-Chloropropane,[H]C([H])([H])C([H])([H])C([H])([H])Cl,298.15,0.25,7.0,14.0,240.5,,1,,formation dg,,,,
"2,3,5-Trichlorobenzoate",[H]OC(=O)c1c([H])c(Cl)c([H])c(Cl)c1Cl,298.15,0.25,7.0,14.0,-212.7,,1,,formation dg,,,,
"2,3-Dichlorobenzoate",[H]OC(=O)c1c([H])c([H])c([H])c(Cl)c1Cl,298.15,0.25,7.0,14.0,-148.3,,1,,formation dg,,,,
"2,4-Dichlorobenzoate",[H]OC(=O)c1c([H])c([H])c(Cl)c([H])c1Cl,298.15,0.25,7.0,14.0,-155.0,,1,,formation dg,,,,
"2,5-Dichlorobenzoate",[H]OC(=O)c1c([H])c(Cl)c([H])c([H])c1Cl,298.15,0.25,7.0,14.0,-157.3,,1,,formation dg,,,,
"2,6-Dichlorobenzoate",[H]OC(=O)c1c(Cl)c([H])c([H])c([H])c1Cl,298.15,0.25,7.0,14.0,-141.2,,1,,formation dg,,,,
2-Amino-5-chlorobenzoate,[H]OC(=O)c1c([H])c(Cl)c([H])c([H])c1N([H])[H],298.15,0.25,7.0,14.0,-12.6,,1,,formation dg,,,,
2-Bromobenzoate,[H]OC(=O)c1c([H])c([H])c([H])c([H])c1Br,298.15,0.25,7.0,14.0,-47.3,,1,,formation dg,,,,
2-Chlorobenzoate,[H]OC(=O)c1c([H])c([H])c([H])c([H])c1Cl,298.15,0.25,7.0,14.0,-75.7,,1,,formation dg,,,,
2-Chlorobutane,[H]C([H])([H])C([H])([H])C([H])(Cl)C([H])([H])[H],298.15,0.25,7.0,14.0,321.1,,1,,formation dg,,,,
2-Deoxy-D-ribose 5-phosphate,[H]O[C@@]([H])(C([H])([H])C([H])=O)[C@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-1084.6,,1,,formation dg,,,,
2-Fluorobenzoate,[H]OC(=O)c1c([H])c([H])c([H])c([H])c1F,298.15,0.25,7.0,14.0,-236.5,,1,,formation dg,,,,
2-Hydroxy-5-chlorobenzoate,[H]OC(=O)c1c([H])c(Cl)c([H])c([H])c1O[H],298.15,0.25,7.0,14.0,-246.7,,1,,formation dg,,,,
2-Hydroxybutanoic acid,[H]OC(=O)[C@@]([H])(O[H])C([H])([H])C([H])([H])[H],298.15,0.25,7.0,14.0,-221.9,,1,,formation dg,,,,
2-Iodobenzoate,[H]OC(=O)c1c([H])c([H])c([H])c([H])c1I,298.15,0.25,7.0,14.0,15.7,,1,,formation dg,,,,
2-Methyl-5-chlorobenzoate,[H]OC(=O)c1c([H])c(Cl)c([H])c([H])c1C([H])([H])[H],298.15,0.25,7.0,14.0,6.6,,1,,formation dg,,,,
2-Methylmaleate,[H]OC(=O)/C([H])=C(\C(=O)O[H])C([H])([H])[H],298.15,0.25,7.0,14.0,-441.0,,1,,formation dg,,,,
2-Oxoglutarate,[H]OC(=O)C(=O)C([H])([H])C([H])([H])C(=O)O[H],298.15,0.25,7.0,14.0,-633.7,,1,,formation dg,,,,
2-Phospho-D-glycerate,[H]OC(=O)[C@]([H])(OP(=O)(O[H])O[H])C([H])([H])O[H],298.15,0.25,7.0,14.0,-1340.7,,1,,formation dg,,,,
