description,reaction,T,I,pH,pMg,standard_dg_prime,stderr,n,SEM,nontrans_standard_dg_prime,nontrans_stderr
Proton,[H+],298.15,0.25,7.0,14.0,0.0,,1,,,
Formate,[H]OC([H])=O,298.15,0.25,7.0,14.0,-311.1,,1,,,
Dimethylamine,[H]N(C([H])([H])[H])C([H])([H])[H],298.15,0.25,7.0,14.0,321.8,,1,,,
Sucrose,[H]OC([H])([H])[C@@]1(O[C@@]2([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]2([H])O[H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,-668.3,,1,,,
H2O,[H]O[H],298.15,0.25,7.0,14.0,-155.7,,1,,,
"cis-1,2-Dichloroethene",[H]/C(Cl)=C(\[H])Cl,298.15,0.25,7.0,14.0,109.3,,1,,,
L-Tyrosine,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])c1c([H])c([H])c(O[H])c([H])c1[H],298.15,0.25,7.0,14.0,77.5,,1,,,
Ethyl acetate,[H]C([H])([H])C(=O)OC([H])([H])C([H])([H])[H],298.15,0.25,7.0,14.0,-11.7,,1,,,
L-Cysteine,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])S[H],298.15,0.25,7.0,14.0,-53.7,,1,,,
Trimethylamine,[H]C([H])([H])N(C([H])([H])[H])C([H])([H])[H],298.15,0.25,7.0,14.0,443.8,,1,,,
Cyanate,[H]N=C=O,298.15,0.25,7.0,14.0,-98.2,,1,,,
Methane,[H]C([H])([H])[H],298.15,0.25,7.0,14.0,128.6,,1,,,
Oxaloacetate,[H]OC(=O)C(=O)C([H])([H])C(=O)O[H],298.15,0.25,7.0,14.0,-715.0,,1,,,
3-Hydroxypropanoate,[H]OC(=O)C([H])([H])C([H])([H])O[H],298.15,0.25,7.0,14.0,-315.5,,1,,,
D-Xylulose,[H]OC([H])([H])C(=O)[C@@]([H])(O[H])[C@]([H])(O[H])C([H])([H])O[H],298.15,0.25,7.0,14.0,-338.7,,1,,,
Glycerone,[H]OC([H])([H])C(=O)C([H])([H])O[H],298.15,0.25,7.0,14.0,-206.5,,1,,,
2-Methyl-5-chlorobenzoate,[H]OC(=O)c1c([H])c(Cl)c([H])c([H])c1C([H])([H])[H],298.15,0.25,7.0,14.0,6.6,,1,,,
"1,1,1-Trichloroethane",[H]C([H])([H])C(Cl)(Cl)Cl,298.15,0.25,7.0,14.0,53.2,,1,,,
"D-Galactono-1,4-lactone",[H]OC([H])([H])[C@@]([H])(O[H])[C@]1([H])OC(=O)[C@]([H])(O[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,-497.9,,1,,,
4-Chlorobenzoate,[H]OC(=O)c1c([H])c([H])c(Cl)c([H])c1[H],298.15,0.25,7.0,14.0,-77.3,,1,,,
D-Mannose 6-phosphate,[H]O[C@@]([H])([C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H])[C@]([H])(O[H])C([H])=O,298.15,0.25,7.0,14.0,-1315.0,,1,,,
Magnesium cation,[Mg+2],298.15,0.25,7.0,14.0,-458.5,,1,,,
L-Isoleucine,[H]OC(=O)[C@@]([H])(N([H])[H])[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],298.15,0.25,7.0,14.0,185.8,,1,,,
Dichloromethane,[H]C([H])(Cl)Cl,298.15,0.25,7.0,14.0,15.4,,1,,,
Creatine,[H]N=C(N([H])[H])N(C([H])([H])[H])C([H])([H])C(=O)O[H],298.15,0.25,7.0,14.0,107.5,,1,,,
Pentane,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],298.15,0.25,7.0,14.0,498.2,,1,,,
Acetone,[H]C([H])([H])C(=O)C([H])([H])[H],298.15,0.25,7.0,14.0,84.8,,1,,,
"1,1-Dichloroethylene",[H]C([H])=C(Cl)Cl,298.15,0.25,7.0,14.0,113.7,,1,,,
D-Glyceraldehyde,[H]OC([H])([H])[C@@]([H])(O[H])C([H])=O,298.15,0.25,7.0,14.0,-195.6,,1,,,
Citrate,[H]OC(=O)C([H])([H])C(O[H])(C(=O)O[H])C([H])([H])C(=O)O[H],298.15,0.25,7.0,14.0,-966.3,,1,,,
Glycolate,[H]OC(=O)C([H])([H])O[H],298.15,0.25,7.0,14.0,-409.5,,1,,,
D-Glycerate,[H]OC(=O)[C@]([H])(O[H])C([H])([H])O[H],298.15,0.25,7.0,14.0,-458.1,,1,,,
D-Fructose 6-phosphate,[H]OC([H])([H])C1(O[H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,-1316.0,,1,,,
Adenosine,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,335.1,,1,,,
Lactose,[H]OC1([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[C@]2([H])O[C@]([H])(C([H])([H])O[H])[C@]([H])(O[H])[C@]([H])(O[H])[C@@]2([H])O[H])[C@]([H])(O[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,-671.0,,1,,,
alpha-D-Ribose 1-phosphate,[H]OC([H])([H])[C@@]1([H])O[C@]([H])(OP(=O)(O[H])O[H])[C@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,-1224.3,,1,,,
Carbon tetrachloride,ClC(Cl)(Cl)Cl,298.15,0.25,7.0,14.0,-45.1,,1,,,
4-Iodobenzoate,[H]OC(=O)c1c([H])c([H])c(I)c([H])c1[H],298.15,0.25,7.0,14.0,20.9,,1,,,
ATP,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-2293.7,,1,,,
Ethane,[H]C([H])([H])C([H])([H])[H],298.15,0.25,7.0,14.0,227.0,,1,,,
2-Phospho-D-glycerate,[H]OC(=O)[C@]([H])(OP(=O)(O[H])O[H])C([H])([H])O[H],298.15,0.25,7.0,14.0,-1340.7,,1,,,
Glycerol,[H]OC([H])([H])C([H])(O[H])C([H])([H])O[H],298.15,0.25,7.0,14.0,-171.5,,1,,,
sn-Glycerol 3-phosphate,[H]OC([H])([H])[C@@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-1077.2,,1,,,
3-Phospho-D-glycerate,[H]OC(=O)[C@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-1347.0,,1,,,
Tetrachloroethene,ClC(Cl)=C(Cl)Cl,298.15,0.25,7.0,14.0,27.6,,1,,,
L-Aspartate,[H]OC(=O)C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],298.15,0.25,7.0,14.0,-452.3,,1,,,
Hexachloroethane,ClC(Cl)(Cl)C(Cl)(Cl)Cl,298.15,0.25,7.0,14.0,-49.6,,1,,,
(R)-2-Methylmalate,[H]OC(=O)C([H])([H])[C@@](O[H])(C(=O)O[H])C([H])([H])[H],298.15,0.25,7.0,14.0,-602.7,,1,,,
3-Phosphonooxypyruvate,[H]OC(=O)C(=O)C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-1374.5,,1,,,
cis-Aconitate,[H]OC(=O)/C([H])=C(\C(=O)O[H])C([H])([H])C(=O)O[H],298.15,0.25,7.0,14.0,-802.2,,1,,,
"2,3,5-Trichlorobenzoate",[H]OC(=O)c1c([H])c(Cl)c([H])c(Cl)c1Cl,298.15,0.25,7.0,14.0,-212.7,,1,,,
Oxalate,[H]OC(=O)C(=O)O[H],298.15,0.25,7.0,14.0,-677.1,,1,,,
"1,2-Dichlorobenzene",[H]c1c([H])c([H])c(Cl)c(Cl)c1[H],298.15,0.25,7.0,14.0,247.3,,1,,,
Pentachlorobenzene,[H]c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,298.15,0.25,7.0,14.0,86.4,,1,,,
4-Hydroxy-2-oxoglutarate,[H]OC(=O)C(=O)C([H])([H])C([H])(O[H])C(=O)O[H],298.15,0.25,7.0,14.0,-812.0,,1,,,
Nitrite,[H]ON=O,298.15,0.25,7.0,14.0,-33.0,,1,,,
