cid,name,standard_dg_prime,p_h,ionic_strength,p_mg,temperature,decompose,reference,remark,Smiles
metanetx.chemical:MNXM2,H2O,-155.7,7.0,0.25,14.0,298.15,0,Alberty (2006),,[H]O[H]
metanetx.chemical:MNXM3,ATP,-2293.7,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OP(=O)(O[H])O[H]
metanetx.chemical:MNXM4,Oxygen,16.4,7.0,0.25,14.0,298.15,0,Alberty (2006),,O=O
metanetx.chemical:MNXM7,ADP,-1423.9,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[H]
metanetx.chemical:MNXM9,Orthophosphate,-1059.1,7.0,0.25,14.0,298.15,0,Alberty (2006),,[H]OP(=O)(O[H])O[H]
metanetx.chemical:MNXM13,CO2,-386.0,7.0,0.25,14.0,298.15,0,Alberty (2006),,O=C=O
metanetx.chemical:MNXM11,Diphosphate,-1942.8,7.0,0.25,14.0,298.15,0,Alberty (2006),,[H]OP(=O)(O[H])OP(=O)(O[H])O[H]
metanetx.chemical:MNXM15,NH3,82.8,7.0,0.25,14.0,298.15,0,Alberty (2006),,[H]N([H])[H]
metanetx.chemical:MNXM14,AMP,-554.9,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])O[H]
metanetx.chemical:MNXM23,Pyruvate,-350.8,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC(=O)C(=O)C([H])([H])[H]
metanetx.chemical:MNXM95120,Iron,0.0,7.0,0.25,14.0,298.15,0,Element,,[Fe]
metanetx.chemical:MNXM89557,L-Glutamate,-372.4,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H]
metanetx.chemical:MNXM20,2-Oxoglutarate,-633.7,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC(=O)C(=O)C([H])([H])C([H])([H])C(=O)O[H]
metanetx.chemical:MNXM22,Hydrogen peroxide,-52.5,7.0,0.25,14.0,298.15,0,Alberty (2006),,[H]OO[H]
metanetx.chemical:MNXM41,D-Glucose,-427.0,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC1([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H]
metanetx.chemical:MNXM26,Acetate,-247.9,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC(=O)C([H])([H])[H]
metanetx.chemical:MNXM1932,Manganese,0.0,7.0,0.25,14.0,298.15,0,Element,,[Mn]
metanetx.chemical:MNXM46,Oxaloacetate,-715.0,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC(=O)C(=O)C([H])([H])C(=O)O[H]
metanetx.chemical:MNXM29,Glycine,-176.2,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC(=O)C([H])([H])N([H])[H]
metanetx.chemical:MNXM32,L-Alanine,-85.8,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])[H]
metanetx.chemical:MNXM25,Succinate,-530.7,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC(=O)C([H])([H])C([H])([H])C(=O)O[H]
metanetx.chemical:MNXM69,Glyoxylate,-428.7,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC(=O)C([H])=O
metanetx.chemical:MNXM42,L-Aspartate,-452.3,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC(=O)C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H]
metanetx.chemical:MNXM39,Formate,-311.1,7.0,0.25,14.0,298.15,0,Alberty (2006),,[H]OC([H])=O
metanetx.chemical:MNXM58,Sulfate,-747.8,7.0,0.25,14.0,298.15,0,Alberty (2006),,[H]OS(=O)(=O)O[H]
metanetx.chemical:MNXM37,L-Glutamine,-120.6,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])C(=O)N([H])[H]
metanetx.chemical:MNXM53,L-Serine,-225.7,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])O[H]
metanetx.chemical:MNXM56,Formaldehyde,-40.0,7.0,0.25,14.0,298.15,0,Maden (2000),The value in Alberty (2006) is probably wrong,[H]C([H])=O
metanetx.chemical:MNXM73,Phosphoenolpyruvate,-1189.5,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC(=O)C(OP(=O)(O[H])O[H])=C([H])[H]
metanetx.chemical:MNXM94,L-Tryptophan,374.2,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])c1c([H])n([H])c2c([H])c([H])c([H])c([H])c12
metanetx.chemical:MNXM97,L-Phenylalanine,241.1,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H]
metanetx.chemical:MNXM76,L-Tyrosine,77.5,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])c1c([H])c([H])c(O[H])c([H])c1[H]
metanetx.chemical:MNXM75,Acetaldehyde,24.0,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]C(=O)C([H])([H])[H]
metanetx.chemical:MNXM512144,D-Fructose 6-phosphate,-1316.0,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC([H])([H])C1(O[H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]1([H])O[H]
metanetx.chemical:MNXM117,Urea,-39.8,7.0,0.25,14.0,298.15,0,Alberty (2006),,[H]N([H])C(=O)N([H])[H]
metanetx.chemical:MNXM107,Nitrite,-33.0,7.0,0.25,14.0,298.15,0,Alberty (2006),,[H]ON=O
metanetx.chemical:MNXM89,Sulfur,0.0,7.0,0.25,14.0,298.15,0,Element,,[S]
